Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak,faktor
Svehøgda 30,46/415/0/0,6058000,70,320000,3920600,1.8,7057,Ingen,1.0
Svehøgda 32,46/416/0/0,6029000,70,320000,3900300,1.8,7020,Ingen,1.0
Stavsjøvegen 25,46/417/0/0,15257000,100,0,15257000,4.0,61028,Ingen,1.0
"Fellesar Svehøgda 134 A,B,C,D 0",46/418/0/0,0,100,0,0,1.8,0,Ingen,1.0
Svehøgda 132,46/419/0/0,5915000,70,320000,3820500,1.8,6876,Ingen,1.0
Svehøgda 130,46/420/0/0,6277000,70,320000,4073900,1.8,7333,Ingen,1.0
Svehøgda 128,46/421/0/0,3402000,70,320000,2061400,1.8,3710,Ingen,1.0
Svehøgda 126,46/422/0/0,6143000,70,320000,3980100,1.8,7164,Ingen,1.0
Svehøgda 124,46/423/0/0,7975000,70,320000,5262500,1.8,9472,Ingen,1.0
Svehøgda 122,46/424/0/0,7549000,70,320000,4964300,1.8,8935,Ingen,1.0
Svehøgda 120C,46/425/0/0,4957000,70,320000,3149900,1.8,5669,Ingen,1.0
Svehøgda 118,46/426/0/0,8990000,70,640000,5653000,1.8,10175,Ingen,2.0
Svehøgda 116,46/427/0/0,8809000,70,640000,5526300,1.8,9947,Ingen,2.0
Svehøgda 114,46/428/0/0,5411000,70,640000,3147700,1.8,5665,Ingen,2.0
Svehøgda 112,46/429/0/0,4470000,70,320000,2809000,1.8,5056,Ingen,1.0
Svehøgda 110,46/430/0/0,5227000,70,320000,3338900,1.8,6010,Ingen,1.0
Svehøgda 100,46/431/0/0,11431000,70,320000,7681700,1.8,13827,Ingen,1.0
Svehøgda 102,46/432/0/0,6405000,70,640000,3843500,1.8,6918,Ingen,2.0
Svehøgda 104,46/433/0/0,9327000,70,640000,5888900,1.8,10600,Ingen,2.0
Svehøgda 106,46/434/0/0,5566000,70,320000,3576200,1.8,6437,Ingen,1.0
Svehøgda 108A,46/435/0/0,3940000,70,320000,2438000,1.8,4388,Ingen,1.0
Svebergvegen 3,46/436/0/0,142187000,100,0,142187000,4.0,568748,Ingen,1.0
