Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Olav Magnussons Veg 29,1/109/0/0,6 187 000,70%,200 000 4 130 900,"1,9‰",7 848,Ingen,
Armfeldts Veg 10,1/110/0/0,4 700 000,70%,200 000 3 090 000,"1,9‰",5 871,Ingen,
Armfeldts Veg 6A,1/111/0/0,5 652 000,70%,200 000 3 756 400,"1,9‰",7 137,Ingen,
Armfeldts Veg 4A,1/112/0/1,6 321 000,70%,200 000 4 224 700,"1,9‰",8 026,Ingen,
Armfeldts Veg 4B,1/112/0/2,8 405 000,70%,200 000 5 683 500,"1,9‰",10 798,Ingen,
Armfeldts Veg 2C,1/113/0/0,4 086 000,70%,200 000 2 660 200,"1,9‰",5 054,Ingen,
Olav Magnussons Veg 27,1/114/0/0,5 364 000,70%,400 000 3 354 800,"1,9‰",6 374,Ingen,
Hundhammervegen 23B,1/115/0/0,5 239 000,70%,400 000 3 267 300,"1,9‰",6 207,Ingen,
Olav Magnussons Veg 32,1/117/0/0,5 975 000,70%,200 000 3 982 500,"1,9‰",7 566,Ingen,
Olav Magnussons Veg 21,1/118/0/0,4 649 000,70%,200 000 3 054 300,"1,9‰",5 803,Ingen,
Olav Magnussons Veg 28,1/119/0/0,4 553 000,70%,400 000 2 787 100,"1,9‰",5 295,Ingen,
Olav Magnussons Veg 30,1/120/0/0,4 768 000,70%,200 000 3 137 600,"1,9‰",5 961,Ingen,
Olav Magnussons Veg 26,1/122/0/0,8 854 000,70%,400 000 5 797 800,"1,9‰",11 015,Ingen,
Malvikvegen 35,1/123/0/0,4 286 000,70%,200 000 2 800 200,"1,9‰",5 320,Ingen,
Malvikvegen 33,1/124/0/0,4 768 000,70%,200 000 3 137 600,"1,9‰",5 961,Ingen,
Olav Magnussons Veg 33,1/125/0/0,2 952 000,70%,200 000 1 866 400,"1,9‰",3 546,Ingen,
Olav Magnussons Veg 38A,1/131/0/0,5 001 000,70%,200 000 3 300 700,"1,9‰",6 271,Ingen,
Saxe Viks Veg 18B,1/132/0/0,4 384 000,70%,200 000 2 868 800,"1,9‰",5 450,Ingen,
Saxe Viks Veg 20B,1/133/0/1,2 877 000,70%,200 000 1 813 900,"1,9‰",3 446,Ingen,
Saxe Viks Veg 20B,1/133/0/2,2 877 000,70%,200 000 1 813 900,"1,9‰",3 446,Ingen,
Hundhammervegen 28,1/135/0/0,660 000,70%,200 000 262 000,"1,9‰",497,Ingen,
Malvikvegen 182,1/136/0/0,6 559 000,70%,400 000 4 191 300,"1,9‰",7 963,Ingen,
Lassvebergvegen 29,1/137/0/0,3 984 000,70%,200 000 2 588 800,"1,9‰",4 918,Ingen,
Malvikvegen 31,1/138/0/0,4 649 000,70%,200 000 3 054 300,"1,9‰",5 803,Ingen,
Malvikvegen 37,1/139/0/0,3 458 000,70%,200 000 2 220 600,"1,9‰",4 219,Ingen,
Grim Saxeviks Veg 42B,1/140/0/1,2 720 000,70%,200 000 1 704 000,"1,9‰",3 237,Ingen,
Grim Saxeviks Veg 42B,1/140/0/2,3 205 000,70%,200 000 2 043 500,"1,9‰",3 882,Ingen,
Grim Saxeviks Veg 42B,1/140/0/3,2 720 000,70%,200 000 1 704 000,"1,9‰",3 237,Ingen,
Grim Saxeviks Veg 42B,1/140/0/4,3 046 000,70%,200 000 1 932 200,"1,9‰",3 671,Ingen,
Grim Saxeviks Veg 42B,1/140/0/5,2 720 000,70%,200 000 1 704 000,"1,9‰",3 237,Ingen,
Grim Saxeviks Veg 42B,1/140/0/6,3 597 000,70%,200 000 2 317 900,"1,9‰",4 404,Ingen,
Malvikvegen 171,1/142/0/0,5 542 000,70%,400 000 3 479 400,"1,9‰",6 610,Ingen,
Olav Magnussons Veg 5,1/143/0/0,6 145 000,70%,200 000 4 101 500,"1,9‰",7 792,Ingen,
Kongestien 10,1/144/0/0,5 161 000,70%,200 000 3 412 700,"1,9‰",6 484,Ingen,
Olav Magnussons Veg 3,1/146/0/0,4 697 000,70%,200 000 3 087 900,"1,9‰",5 867,Ingen,
Ole Hoels Veg 6,1/151/0/0,3 752 000,70%,200 000 2 426 400,"1,9‰",4 610,Ingen,
Olav Magnussons Veg 18,1/152/0/0,5 520 000,70%,200 000 3 664 000,"1,9‰",6 961,Ingen,
Jamthaugvegen 100,1/153/0/0,7 759 000,70%,200 000 5 231 300,"1,9‰",9 939,Ingen,
Jamthaugvegen 98,1/154/0/0,5 673 000,70%,400 000 3 571 100,"1,9‰",6 785,Ingen,
Jamthaugvegen 96,1/155/0/0,6 702 000,70%,400 000 4 291 400,"1,9‰",8 153,Ingen,
Jamthaugvegen 94,1/156/0/0,3 181 000,70%,200 000 2 026 700,"1,9‰",3 850,Ingen,
Olav Magnussons Veg 51,1/157/0/0,4 035 000,70%,200 000 2 624 500,"1,9‰",4 986,Ingen,
Olav Magnussons Veg 53,1/158/0/0,3 778 000,70%,200 000 2 444 600,"1,9‰",4 644,Ingen,
Olav Magnussons Veg 55,1/159/0/0,5 184 000,70%,200 000 3 428 800,"1,9‰",6 514,Ingen,
Stibakken 2b,1/160/0/0,5 431 000,70%,200 000 3 601 700,"1,9‰",6 843,Ingen,
Stibakken 10,1/161/0/0,6 102 000,70%,200 000 4 071 400,"1,9‰",7 735,Ingen,
Saxe Viks Veg 14,1/162/0/0,6 039 000,70%,200 000 4 027 300,"1,9‰",7 651,Ingen,
Olav Magnussons Veg 45,1/168/0/0,3 672 000,70%,200 000 2 370 400,"1,9‰",4 503,Ingen,
Nordlistien 8,1/170/0/0,4 286 000,70%,200 000 2 800 200,"1,9‰",5 320,Ingen,
Stibakken 8,1/171/0/0,5 207 000,70%,200 000 3 444 900,"1,9‰",6 545,Ingen,
Jamthaugvegen 49,1/172/0/0,5 116 000,70%,200 000 3 381 200,"1,9‰",6 424,Ingen,
Stibakken 6,1/173/0/0,5 890 000,70%,200 000 3 923 000,"1,9‰",7 453,Ingen,
Olav Magnussons Veg 1,1/175/0/0,4 433 000,70%,200 000 2 903 100,"1,9‰",5 515,Ingen,
Saxe Viks Veg 16,1/176/0/0,4 236 000,70%,200 000 2 765 200,"1,9‰",5 253,Ingen,
Magnus Barfots Veg 14A,1/177/0/0,4 168 000,70%,200 000 2 717 600,"1,9‰",5 163,Ingen,
Magnus Barfots Veg 14B,1/179/0/0,4 896 000,70%,200 000 3 227 200,"1,9‰",6 131,Ingen,
Ole Hoels Veg 5,1/180/0/0,4 261 000,70%,200 000 2 782 700,"1,9‰",5 287,Ingen,
Magnus Barfots Veg 28,1/181/0/0,4 885 000,70%,200 000 3 219 500,"1,9‰",6 117,Ingen,
Magnus Barfots Veg 18,1/182/0/0,4 161 000,70%,200 000 2 712 700,"1,9‰",5 154,Ingen,
