Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Bjørnmyra 6A,46/200/0/0,4526000,70,2000002968,200,1.9,5639,Ingen
Bjørnmyra 8,46/201/0/0,4246000,70,2000002772,200,1.9,5267,Ingen
Bjørnmyra 10,46/202/0/0,6287000,70,2000004200,900,1.9,7981,Ingen
Bjørnmyra 12,46/203/0/0,6628000,70,2000004439,600,1.9,8435,Ingen
Bjørnmyra 14,46/204/0/0,5635000,70,2000003744,500,1.9,7114,Ingen
Bjørnmyra 16,46/205/0/0,5635000,70,2000003744,500,1.9,7114,Ingen
Bjørnmyra 34,46/206/0/0,5911000,70,2000003937,700,1.9,7481,Ingen
Bjørnmyra 36A,46/207/0/0,6181000,70,2000004126,700,1.9,7840,Ingen
Bjørnmyra 38A,46/208/0/0,5467000,70,2000003626,900,1.9,6891,Ingen
Bjørnmyra 40,46/209/0/0,5268000,70,2000003487,600,1.9,6626,Ingen
Myrvegen 18,46/210/0/0,6260000,70,2000004182,000,1.9,7945,Ingen
Myrvegen 20,46/211/0/0,6207000,70,4000003944,900,1.9,7495,Ingen
Myrvegen 22,46/212/0/0,6961000,70,2000004672,700,1.9,8878,Ingen
Myrvegen 24,46/213/0/0,7533000,70,2000005073,100,1.9,9638,Ingen
Myrvegen 26,46/214/0/0,6910000,70,2000004637,000,1.9,8810,Ingen
Myrvegen 28,46/215/0/0,8416000,70,2000005691,200,1.9,10813,Ingen
Myrvegen 30,46/216/0/0,6419000,70,2000004293,300,1.9,8157,Ingen
Myrvegen 32,46/217/0/0,5467000,70,2000003626,900,1.9,6891,Ingen
Myrvegen 34,46/218/0/0,6757000,70,2000004529,900,1.9,8606,Ingen
Myrvegen 36,46/219/0/0,6100000,70,2000004070,000,1.9,7733,Ingen
Myrvegen 38,46/220/0/0,4146000,70,2000002702,200,1.9,5134,Ingen
Myrvegen 40,46/221/0/0,5325000,70,2000003527,500,1.9,6702,Ingen
Myrvegen 42,46/222/0/0,4434000,70,2000002903,800,1.9,5517,Ingen
Myrvegen 44,46/223/0/0,4859000,70,2000003201,300,1.9,6082,Ingen
Myrvegen 46,46/224/0/0,5296000,70,2000003507,200,1.9,6663,Ingen
Myrvegen 48,46/225/0/0,4918000,70,2000003242,600,1.9,6160,Ingen
Myrvegen 39,46/226/0/0,4618000,70,2000003032,600,1.9,5761,Ingen
Myrvegen 49,46/227/0/0,7087000,70,2000004760,900,1.9,9045,Ingen
Smiskaret 96A,46/228/0/0,4146000,70,2000002702,200,1.9,5134,Ingen
Smiskaret 96B,46/229/0/0,3799000,70,2000002459,300,1.9,4672,Ingen
Smiskaret 98A,46/230/0/0,3799000,70,2000002459,300,1.9,4672,Ingen
Smiskaret 98B,46/231/0/0,3799000,70,2000002459,300,1.9,4672,Ingen
Smiskaret 98C,46/232/0/0,3799000,70,2000002459,300,1.9,4672,Ingen
Smiskaret 87A,46/233/0/0,4011000,70,2000002607,700,1.9,4954,Ingen
Smiskaret 87B,46/234/0/0,4011000,70,2000002607,700,1.9,4954,Ingen
Smiskaret 87C,46/235/0/0,3706000,70,2000002394,200,1.9,4548,Ingen
Smiskaret 87D,46/236/0/0,3799000,70,2000002459,300,1.9,4672,Ingen
Smiskaret 87E,46/237/0/0,3853000,70,2000002497,100,1.9,4744,Ingen
Myrvegen 10,46/238/0/0,5296000,70,2000003507,200,1.9,6663,Ingen
Myrvegen 6,46/241/0/0,6019000,70,2000004013,300,1.9,7625,Ingen
Bjørnmyra 9,46/242/0/0,5965000,70,2000003975,500,1.9,7553,Ingen
Essotomta 0,46/243/0/0,,,,,,,
Kindsethvegen 1A,46/244/0/0,4585000,70,2000003009,500,1.9,5718,Ingen
Kindsethvegen 1B,46/245/0/0,4372000,70,2000002860,400,1.9,5434,Ingen
Myrvegen 12,46/246/0/0,6340000,70,2000004238,000,1.9,8052,Ingen
"Linjegrunn, Nordlandbanen 0",46/247/0/0,,,,,,,
Bjørnmyra 49A,46/248/0/0,2868000,70,2000001807,600,1.9,3434,Ingen
Myrvegen 2,46/249/0/0,3959000,70,2000002571,300,1.9,4885,Ingen
Myrvegen 4,46/250/0/0,4829000,70,2000003180,300,1.9,6042,Ingen
Myrvegen 8,46/251/0/0,3889000,70,2000002522,300,1.9,4792,Ingen
Myrvegen 14,46/252/0/0,3853000,70,2000002497,100,1.9,4744,Ingen
Myrvegen 16,46/253/0/0,3853000,70,2000002497,100,1.9,4744,Ingen
Bjørnmyra 49B,46/254/0/0,2868000,70,2000001807,600,1.9,3434,Ingen
Bjørnmyra 51A,46/255/0/0,2967000,70,2000001876,900,1.9,3566,Ingen
Bjørnmyra 51B,46/256/0/0,3162000,70,2000002013,400,1.9,3825,Ingen
Bjørnmyra 25,46/257/0/0,5856000,70,2000003899,200,1.9,7408,Ingen
Bjørnmyra 27,46/258/0/0,5353000,70,4000003347,100,1.9,6359,Ingen
Bjørnmyra 29,46/259/0/0,4570000,70,2000002999,000,1.9,5698,Ingen
Bjørnmyra 31,46/260/0/0,6207000,70,2000004144,900,1.9,7875,Ingen
Bjørnmyra 41,46/261/0/0,5691000,70,2000003783,700,1.9,7189,Ingen
Bjørnmyra 43,46/262/0/0,5000000,70,2000003300,000,1.9,6270,Ingen
Bjørnmyra 7,46/263/0/0,4557000,70,2000002989,900,1.9,5680,Ingen
Bjørnmyra 5,46/264/0/0,4918000,70,2000003242,600,1.9,6160,Ingen
Bjørnmyra 3,46/265/0/0,3976000,70,2000002583,200,1.9,4908,Ingen
Bjørnmyra 1A,46/266/0/0,4918000,70,2000003242,600,1.9,6160,Ingen
Bjørnmyra 35,46/267/0/0,5883000,70,2000003918,100,1.9,7444,Ingen
Bjørnmyra 33A,46/268/0/0,5579000,70,2000003705,300,1.9,7040,Ingen
Bjørnmyra 39A,46/269/0/1,2967000,70,2000001876,900,1.9,3566,Ingen
Bjørnmyra 37A,46/269/0/2,3453000,70,2000002217,100,1.9,4212,Ingen
Bjørnmyra 39B,46/269/0/3,3194000,70,2000002035,800,1.9,3868,Ingen
Bjørnmyra 37B,46/269/0/4,3194000,70,2000002035,800,1.9,3868,Ingen
Bjørnmyra 17,46/271/0/0,5607000,70,2000003724,900,1.9,7077,Ingen
Bjørnmyra 19,46/272/0/0,4434000,70,2000002903,800,1.9,5517,Ingen
Bjørnmyra 2B,46/273/0/0,4557000,70,2000002989,900,1.9,5680,Ingen
Bjørnmyra 4B,46/274/0/0,5065000,70,2000003345,500,1.9,6356,Ingen
Bjørnmyra 6B,46/275/0/0,4769000,70,2000003138,300,1.9,5962,Ingen
Bjørnmyra 36B,46/276/0/0,5635000,70,2000003744,500,1.9,7114,Ingen
Bjørnmyra 38B,46/277/0/0,5094000,70,2000003365,800,1.9,6395,Ingen
Bjørnmyra 38C,46/278/0/0,4769000,70,2000003138,300,1.9,5962,Ingen
Bjørnmyra 1B,46/279/0/0,4948000,70,2000003263,600,1.9,6200,Ingen
Bjørnmyra 33B,46/281/0/0,4557000,70,2000002989,900,1.9,5680,Ingen
Smiskaret 0,46/282/0/0,8458000,70,4000005520,600,1.9,10489,Ingen
Smiskaret 80C,46/283/0/0,10496000,70,4000006947,200,1.9,13199,Ingen
Bjørnmyra 45,46/284/0/0,6181000,70,2000004126,700,1.9,7840,Ingen
Bjørnmyra 47,46/285/0/0,4948000,70,2000003263,600,1.9,6200,Ingen
Myrvegen 41,46/286/0/0,5551000,70,2000003685,700,1.9,7002,Ingen
Myrvegen 43,46/287/0/0,6073000,70,2000004051,100,1.9,7697,Ingen
Myrvegen 45,46/288/0/0,4815000,70,2000003170,500,1.9,6023,Ingen
Myrvegen 47,46/289/0/0,5579000,70,2000003705,300,1.9,7040,Ingen
Bjørnmyra 11,46/290/0/0,3742000,70,2000002419,400,1.9,4596,Ingen
Bjørnmyra 13,46/291/0/0,3645000,70,2000002351,500,1.9,4467,Ingen
Bjørnmyra 15,46/292/0/0,4434000,70,2000002903,800,1.9,5517,Ingen
Bjørnmyra 21A,46/293/0/1,2934000,70,2000001853,800,1.9,3522,Ingen
Bjørnmyra 21B,46/293/0/2,2934000,70,2000001853,800,1.9,3522,Ingen
Bjørnmyra 23A,46/293/0/3,2802000,70,2000001761,400,1.9,3346,Ingen
Bjørnmyra 23B,46/293/0/4,3244000,70,2000002070,800,1.9,3934,Ingen
Myrvegen 50,46/295/0/0,5663000,70,2000003764,100,1.9,7151,Ingen
Kindsethvegen 9B,46/298/0/0,4465000,70,2000002925,500,1.9,5558,Ingen
Stavsjøvegen 31,46/301/0/0,11516000,100,011516,000,4,46064,Ingen
Smiskaret 12A,46/302/0/0,4888000,70,4000003021,600,1.9,5741,Ingen
Smiskaret 86B,46/303/0/3,2499000,70,2000001549,300,1.9,2943,Ingen
Smiskaret 86C,46/303/0/4,5127000,70,2000003388,900,1.9,6438,Ingen
Smiskaret 88B,46/304/0/1,3706000,70,2000002394,200,1.9,4548,Ingen
Smiskaret 88C,46/304/0/2,4244000,70,2000002770,800,1.9,5264,Ingen
Svehøgda 1,46/305/0/0,7087000,70,4000004560,900,1.9,8665,Ingen
Svehøgda 3,46/306/0/0,6260000,70,2000004182,000,1.9,7945,Ingen
Svehøgda 5,46/307/0/0,7945000,70,4000005161,500,1.9,9806,Ingen
Svehøgda 7,46/308/0/0,7509000,70,2000005056,300,1.9,9606,Ingen
Svehøgda 9,46/309/0/0,7212000,70,4000004648,400,1.9,8831,Ingen
Svehøgda 11,46/310/0/0,4694000,70,4000002885,800,1.9,5483,Ingen
Svehøgda 13,46/311/0/0,7212000,70,2000004848,400,1.9,9211,Ingen
Svehøgda 15,46/312/0/0,5911000,70,2000003937,700,1.9,7481,Ingen
Svehøgda 17,46/313/0/0,6705000,70,4000004293,500,1.9,8157,Ingen
Svehøgda 19,46/314/0/0,7011000,70,4000004507,700,1.9,8564,Ingen
Svehøgda 21,46/315/0/0,5607000,70,4000003524,900,1.9,6697,Ingen
Svehøgda 23,46/316/0/0,7704000,70,4000004992,800,1.9,9486,Ingen
Svehøgda 25,46/317/0/0,7411000,70,2000004987,700,1.9,9476,Ingen
Svehøgda 27,46/318/0/0,7873000,70,4000005111,100,1.9,9711,Ingen
Svehøgda 29,46/319/0/0,5746000,70,2000003822,200,1.9,7262,Ingen
Svehøgda 31,46/320/0/0,5911000,70,4000003737,700,1.9,7101,Ingen
Svehøgda 33,46/321/0/0,6073000,70,2000004051,100,1.9,7697,Ingen
Svehøgda 35,46/322/0/0,7062000,70,2000004743,400,1.9,9012,Ingen
Svehøgda 37,46/323/0/0,5801000,70,2000003860,700,1.9,7335,Ingen
Smiskaret 13B,46/326/0/0,4760000,70,2000003132,000,1.9,5950,Ingen
Svehøgda 14,46/328/0/0,5635000,70,2000003744,500,1.9,7114,Ingen
Svehøgda 16,46/329/0/0,5239000,70,2000003467,300,1.9,6587,Ingen
Svehøgda 18,46/330/0/0,5296000,70,2000003507,200,1.9,6663,Ingen
Svehøgda 20,46/331/0/0,5239000,70,2000003467,300,1.9,6587,Ingen
Svehøgda 22,46/332/0/0,4599000,70,2000003019,300,1.9,5736,Ingen
Svehøgda 24,46/333/0/0,5635000,70,2000003744,500,1.9,7114,Ingen
Svehøgda 135,46/335/0/0,6445000,70,4000004111,500,1.9,7811,Ingen
Svehøgda 137,46/336/0/0,5467000,70,2000003626,900,1.9,6891,Ingen
Svehøgda 139,46/337/0/0,5774000,70,2000003841,800,1.9,7299,Ingen
Svehøgda 141,46/338/0/0,6986000,70,2000004690,200,1.9,8911,Ingen
Svehøgda 143,46/339/0/0,7921000,70,2000005344,700,1.9,10154,Ingen
Svehøgda 145,46/340/0/0,7062000,70,4000004543,400,1.9,8632,Ingen
Svehøgda 147,46/341/0/0,6445000,70,2000004311,500,1.9,8191,Ingen
Svehøgda 149,46/342/0/0,5911000,70,2000003937,700,1.9,7481,Ingen
Svehøgda 151,46/343/0/0,6046000,70,2000004032,200,1.9,7661,Ingen
Svehøgda 153,46/344/0/0,4918000,70,2000003242,600,1.9,6160,Ingen
